=========================================
== CST Matrix Calculation Priority Log ==
=========================================
Priorities are sorted in ascending order beginning with the lowest priority
 
Group | Shape-ID | ShapeName | Material | User-priority | 2D/3D-Geometry | Material-attributes | Shape-attributes | Feature-ID | Schemetype
1 | 8 | </cst/Boundaries/> Low^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 9 | </cst/Boundaries/> Low^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 10 | </cst/Boundaries/> Low^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 11 | </cst/Boundaries/> Up^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 12 | </cst/Boundaries/> Up^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 13 | </cst/Boundaries/> Up^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
2 | 14 | </cst/Ports/> discrete_face_port:1^t0 | Aluminum | n/a | no | pec.rho.surface-impedance. | face-element.face-port.sheet. | n/a | FIT_TD
2 | 15 | </cst/Ports/> discrete_face_port:1^t1 | Aluminum | n/a | no | pec.rho.surface-impedance. | face-element.face-port.sheet. | n/a | FIT_TD
3 | 2 | component1:dielectrico | PTFE (lossy) | n/a | yes | dispersive-mue.normal.rho. | solid. | n/a | FIT_TD
3 | 6 | component1:vacio | Vacuum | n/a | yes | normal.vacuum. | solid. | n/a | FIT_TD
4 | 1 | component1:cond | Copper (pure) | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 3 | component1:lata | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 4 | component1:monopolo | Copper (pure) | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 5 | component1:tapa | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
5 | 7 | discrete_face_port:1 | PEC | n/a | yes | pec. | face-center-gap.face-element.face-port.sheet. | n/a | FIT_TD
=========================================
